File;Time;Language;Order;Trial;Part;Words;Metaphor;Gesture;Dimension;Handshape;N Hands;Comment;Speech;Grammar;General comments
bi10_2s_PC.eaf;00:05:11.380;;;6;1;mörkare;Brightness;1;none;neutral grip;1;;den första där var det lite mer mörkare;;
bi10_2s_PC.eaf;00:05:12.620;;;6;2;;Brightness;;;;;;och den andra var lite ljusare;;
bi10_2s_PC.eaf;00:05:13.860;;;6;2;ljusare;Brightness;1;none;narrow grip;2;;och den andra var lite ljusare;;
bi10_2s_PC.eaf;00:05:40.900;;;7;;;;;;;;;;;
bi10_2s_PC.eaf;00:06:04.160;;;7;1;;Height;;;;;;det stak lite mer uppåt;;
bi10_2s_PC.eaf;00:06:05.160;;;7;1;uppåt;Height;1;vert;flat V;1;;det stak lite mer uppåt;;
bi10_2s_PC.eaf;00:06:09.220;;;7;2;;Height;;;;;;typ ner;;
bi10_2s_PC.eaf;00:06:10.200;;;7;2;ner;Height;1;vert;flat H;1;;typ ner;;
bi10_2s_PC.eaf;00:06:38.000;;;8;;;;;;;;;;;
bi10_2s_PC.eaf;00:07:29.600;;;9;;;;;;;;;;;
bi10_2s_PC.eaf;00:07:59.980;;;9;1;mjuk;Other;0;;;;;mjuk;softness;
bi10_2s_PC.eaf;00:08:13.560;;;9;2;ljusare;Brightness;1;none;narrow grip;2;;och lite ljusare;;
bi10_2s_PC.eaf;00:08:42.100;;;10;;;;;;;;;;;
bi10_2s_PC.eaf;00:09:09.000;;;10;1;;Brightness;;;;;;den andra var lite mer ljus;;
bi10_2s_PC.eaf;00:09:10.660;;;10;1;ljus;Brightness;1;none;open;2;;den andra var lite mer ljus;;
bi10_2s_PC.eaf;00:09:29.000;;;11;;;;;;;;;;;
bi10_2s_PC.eaf;00:10:15.700;;;12;;;;;;;;;;;
bi10_2s_PC.eaf;00:10:31.250;;;12;1;;Brightness;;;;;;mörk;;
bi10_2s_PC.eaf;00:10:31.930;;;12;1;mörk;Brightness;0;;;;;mörk;;
bi10_2s_PC.eaf;00:11:16.800;;;13;;;;;;;;;;;
bi10_2s_PC.eaf;00:11:36.600;;;13;1;;Brightness;;;;;;den andra var mörkare;;
bi10_2s_PC.eaf;00:11:37.260;;;13;1;ljus;Brightness;1;vert;flat H;2;;den andra var mörkare;;
bi10_2s_PC.eaf;00:11:41.140;;;13;2;;Brightness;;;;;;och den andra var mörk;;
bi10_2s_PC.eaf;00:11:41.820;;;13;2;mörk;Brightness;1;none;wide grip;2;;och den andra var mörk;;
bi10_2s_PC.eaf;00:11:58.600;;;14;;;;;;;;;;;
bi10_2s_PC.eaf;00:12:25.040;;;14;1;;Brightness;;;;;;det är mycket mer ljusare;;
bi10_2s_PC.eaf;00:12:25.900;;;14;1;ljusare;Brightness;1;vert;flat H;2;;det är mycket mer ljusare;;
bi10_2s_PC.eaf;00:12:32.140;;;14;2;;Brightness;;;;;;sneppet ljusare;;
bi10_2s_PC.eaf;00:12:32.480;;;14;2;ljusare;Brightness;1;vert;flat H;1;gesture starts earlier;sneppet ljusare;;
bi10_2s_PC.eaf;00:12:44.400;;;15;;;;;;;;;;;
bi10_2s_PC.eaf;00:12:50.140;;;15;1;;Brightness;;;;;;ljus röst;;
